"Proxy","N","Pearson r","Spearman ρ","r sin solapamiento","β ΔICVLF","p HAC","β winsor 1–99%","p winsor"
"P1: Disp. / Oblig. CP",192,"-0.5357","-0.7029","-0.4887","-130.6680","0.0011","-34.8730","<0.0001"
"P2: (Disp. + Inv. Temp.) / Oblig. CP",192,"-0.5140","-0.7510","-0.4615","-219.7646","0.0092","-72.4439","0.0002"
