dimension_omitida,dimension,n_comparables,pearson_vs_base,spearman_vs_base,dam_z
cartera,Cartera,192,0.9204374055395357,0.9808242682364432,0.16046821285159846
liquidez,Liquidez,192,0.9309812335367885,0.9631880205083689,0.08009580991452532
fondeo,Fondeo,192,0.9315533774704168,0.9409926620188266,0.24928053995044253
activos,Activos,192,0.9323791265995677,0.9476236334535987,0.14795341883362054
solvencia,Solvencia,192,0.9740284345822074,0.956947006483466,0.11007130833984054
