"Fecha","activos","cartera","fondeo","liquidez","solvencia","ICVLF_equal","ICVLF_alt_pesos","ICVLF_nucleo","ICVLF_pca_global","ICVLF_pca_interno","ICVLF_robust_z","ICVLF_equal_100","ICVLF_alt_pesos_100","ICVLF_pca_global_100","ICVLF_nucleo_100","ICVLF_pca_interno_100","ICVLF_robust_z_100","nivel_vulnerabilidad"
2010-01-01,-0.640668766340886,4.46533845961273,-1.70353109977243,-5.77915344948562,-3.2026338987565,-1.37212975094854,-2.19514941814795,-3.74134227462902,-2.40438933156689,-1.75580260078523,-2.09599602039525,1.94317389654522,0,0.453643656820131,0.0596735487854223,0.611183470370897,0,"Baja"
2010-02-01,-0.335983936980607,4.59292407359884,-1.63530724358723,-5.85275408349587,-3.055803337869,-1.25738490566677,-2.12433005341453,-3.74403066354155,-2.26288967234665,-1.6474071634606,-2.04742140767507,6.78445720433205,2.39030331180404,3.80471318949032,0,4.51375648000643,1.67926273783092,"Baja"
2010-03-01,-0.37680483548689,4.3341666079429,-1.263699609652,-5.73619756294646,-2.93918321555565,-1.19634372313962,-2.02390810513142,-3.49994858629923,-2.3002338227553,-1.57697790504444,-1.96937952395146,9.35989017764428,5.77975641495557,2.92030933051636,5.41783358654287,7.04942891943189,4.37723231469823,"Baja"
2010-04-01,-1.00337034227291,4.26983997860772,-1.77254069144095,-5.4104693473355,-3.17438736505376,-1.41818555349908,-2.16426773548282,-3.59150501938822,-2.42354453626249,-1.77277845220246,-2.04604951350985,0,1.04232209123032,0,3.38557655293379,0,1.72669020297959,"Baja"
2010-05-01,0.451396692141232,4.15333878767339,-2.80692330360976,-1.45908990556984,-2.73011847310306,-0.478279240493608,-0.794713818189997,-2.1330066045898,-0.359611860835371,-0.797177753720252,-0.641890775317619,39.6562715550575,47.2676628087295,48.879141788891,35.7595295563311,35.1246606688387,50.2695671298389,"Baja"
2010-06-01,0.397187082617286,3.90006762460133,-2.56344221728858,-1.11335671451972,-2.7039849843973,-0.416705841797398,-0.656345696760986,-1.83839946590415,-0.341111205973284,-0.721435594040937,-0.549891854069876,42.2541596482408,51.9378794951521,49.317284051455,42.2988562813402,37.8516140845136,53.4500425205932,"Baja"
2010-07-01,-0.223656934202518,0.736889082911369,-1.71223553346552,-1.48670311853319,-1.67088087136659,-0.871317474931291,-1.03850823968333,-1.59946932599935,-0.700672293564157,-0.959040055223669,-0.979390610464348,23.0733092526324,39.0390855645192,40.8019688033522,47.6023335027687,29.297114189803,38.6019311890083,"Baja"
2010-08-01,-0.370250078567858,0.711398031559508,-1.37263989605109,-1.30066125040008,-1.59154942327265,-0.784740523346436,-0.90637416103132,-1.33665057322559,-0.749306548146055,-0.871959338646978,-0.913951270628086,26.7261404496904,43.4988901249379,39.6501867448537,53.4360607556607,32.432290933028,40.8642208671228,"Baja"
2010-09-01,-0.355412903711599,0.855923382097946,-1.01008524914711,-1.39856006823469,-1.56731793799071,-0.695090555397233,-0.823672558210039,-1.2043226586909,-0.832150098648665,-0.765575374242801,-0.846136503971938,30.5086275174999,46.2902440979554,37.6882421041574,56.3733129615712,36.2624446589488,43.2086309270931,"Baja"
2010-10-01,-0.412210722088969,0.746726310416408,-1.3827222839176,-1.34304292246387,-1.58001431517326,-0.79425278664546,-0.923569687109966,-1.36288260319074,-0.768600668949134,-0.865817365395659,-0.883726678464893,26.3248016233949,42.91850475875,39.1932532035353,52.8537944352734,32.6534210804596,41.90910889697,"Baja"
