Fecha,liquidez,fondeo,activos,cartera,solvencia,ICVLF_equal,ICVLF_equal_100,ICVLF_alt_pesos_100,ICVLF_pca_global_100,ICVLF_nucleo_100,ICVLF_pca_interno_100,ICVLF_robust_z_100,nivel_vulnerabilidad
2010-01-01,-5.779153449485616,-1.7035310997724322,-0.6406687663408862,4.465338459612728,-3.202633898756503,-1.3721297509485417,1.9431738965452208,0,0.45364365682013075,0.05967354878542234,0.6111834703708968,0,Baja
2010-02-01,-5.852754083495872,-1.635307243587226,-0.3359839369806069,4.592924073598841,-3.0558033378690026,-1.2573849056667734,6.784457204332054,2.390303311804044,3.804713189490322,0,4.513756480006427,1.6792627378309157,Baja
2010-03-01,-5.736197562946462,-1.2636996096519983,-0.37680483548688976,4.334166607942899,-2.939183215555651,-1.1963437231396203,9.359890177644276,5.779756414955569,2.9203093305163557,5.417833586542875,7.049428919431895,4.377232314698234,Baja
2010-04-01,-5.4104693473355,-1.7725406914409485,-1.0033703422729148,4.2698399786077195,-3.1743873650537604,-1.418185553499081,0,1.0423220912303197,0,3.385576552933791,0,1.726690202979588,Baja
2010-05-01,-1.4590899055698403,-2.8069233036097625,0.4513966921412316,4.153338787673393,-2.7301184731030617,-0.47827924049360804,39.6562715550575,47.26766280872949,48.87914178889103,35.759529556331145,35.12466066883869,50.26956712983889,Baja
2010-06-01,-1.1133567145197243,-2.5634422172885776,0.3971870826172855,3.9000676246013266,-2.7039849843973016,-0.4167058417973984,42.25415964824078,51.93787949515207,49.31728405145499,42.298856281340164,37.85161408451364,53.4500425205932,Baja
2010-07-01,-1.4867031185331854,-1.712235533465524,-0.22365693420251812,0.7368890829113686,-1.6708808713665935,-0.8713174749312905,23.07330925263244,39.039085564519176,40.80196880335219,47.60233350276868,29.297114189802954,38.6019311890083,Baja
2010-08-01,-1.3006612504000818,-1.3726398960510942,-0.37025007856785835,0.7113980315595079,-1.5915494232726515,-0.7847405233464356,26.72614044969035,43.49889012493793,39.65018674485375,53.43606075566074,32.43229093302805,40.864220867122825,Baja
2010-09-01,-1.3985600682346946,-1.0100852491471082,-0.35541290371159945,0.8559233820979465,-1.5673179379907085,-0.6950905553972329,30.50862751749993,46.29024409795544,37.688242104157446,56.37331296157117,36.26244465894883,43.20863092709313,Baja
2010-10-01,-1.3430429224638694,-1.3827222839176037,-0.41221072208896936,0.7467263104164079,-1.5800143151732648,-0.7942527866454598,26.32480162339489,42.91850475875004,39.19325320353535,52.853794435273414,32.65342108045959,41.90910889697002,Baja
2010-11-01,-1.1056899656513142,-1.247309653182943,-0.44109160078274434,0.7385992966431283,-1.6626621328843325,-0.7436308111716412,28.460630246169043,46.398709826723014,39.12219616222228,56.99089033133075,35.40773683648422,42.96377876785201,Baja
2010-12-01,-0.8122078705448166,-0.3050931893272338,-0.9137075145449076,0.5381068106039516,-1.2842606970734514,-0.5554324921772915,36.40104254149726,55.68549387608543,34.988421809016174,70.70514832033832,42.4364822118638,51.464440800097485,Baja
2011-01-01,-0.8069663135815115,-0.5935695732528969,-0.6261593216956273,0.7093291307158854,-1.323895199597123,-0.5282522554822547,37.547823696591855,55.502138066983626,39.012993793874664,67.56169924834464,43.162249063877,51.564884575329884,Baja
2011-02-01,-0.8462200803453697,-0.08126520216923423,-0.4152013703201934,-0.2402345361007448,-1.2734128921158046,-0.5712668162102694,35.73296504797064,55.79222560536186,36.944850394066385,72.81179684087259,40.36101528056172,50.04486627513959,Baja
2011-03-01,-1.1731666046877895,-0.5311903341477807,-0.6407750595623619,-0.2423557306338553,-1.7426436397418361,-0.8660262737547247,23.29655417375588,45.396916098970365,30.95347627232702,64.18977633120942,29.127407064789022,41.20424871843553,Baja
2011-04-01,-1.1257778771505893,-1.0347710276293762,-1.0980447988941135,-0.2569400552702463,-1.9131742552154705,-1.0857416028319593,14.026384759918887,38.74301445000859,28.270137220989206,59.12678239300467,21.499000698614473,36.17092086800784,Baja
2011-05-01,-0.7475672018473061,-0.9030903424677286,-1.4805216276535602,-0.31647631134716353,-1.6590799798767752,-1.0213470926385066,16.743300422205337,42.94182382497844,28.838726844069065,64.78575287012083,24.088696210099897,42.557296830304466,Baja
2011-06-01,-0.6943678453424835,-0.48102320385768954,-1.1928411051488226,-0.4384264122388081,-1.4830923893185717,-0.8579501911812751,23.637298053440748,48.564753358737505,30.93761317884431,70.06044327116061,29.88409532370047,46.660838973031495,Baja
2011-07-01,-0.704752885164064,-1.0329591408342107,-0.9442460888094293,-0.3889535997903321,-1.3390923670483332,-0.8820008163292739,22.622560617655083,45.779914596383776,37.26083675561957,63.8195887419487,29.839940151370133,46.34069346622296,Baja
2011-08-01,-0.7802599276793915,-0.9853750038754873,-0.838874916141664,-0.16736302210962184,-1.4520036338623368,-0.8447753007337003,24.193169448352975,46.56369625167529,36.81852046659518,63.50968959394971,31.182755978597115,46.55469937190217,Baja
