Fecha,liq_disp_oblig_cp,liq_disp_inv_oblig_cp,liq_disp_inv_pasivo,liq_disp_inv_activo,liq_activos_pasivos_cp,fon_oblig_publico_emp_paspat,fon_oblig_publico_paspat,fon_oblig_bancos_paspat,fon_oblig_subordinadas_paspat,fon_juridicas_institucionales,fon_personas_naturales,fon_dias_permanencia_dpf,act_disp_activo,act_cartera_neta_activo,act_productivo_actcont,act_improductivo_patrimonio,car_reprogramada_cartera,car_mora_cartera,car_reprog_venc_ejec,car_prev_incobrable,car_categoria_f,solv_patrimonio_activo,solv_patrimonio_actcont,solv_cap,solv_mora_patrimonio,solv_mora_neta_patrimonio,rent_roa,rent_roe,rent_resultado_operativo,rent_gastos_fin_pasivos_costo,rent_gastos_admin_actcont
2010-01-01,347.50916666666666,756.6616666666665,90.08999999999999,49.305,NA,65.3575,64.51416666666668,7.704166666666667,0.8275,59.23083333333332,40.76916666666666,505.14118333333334,26.99,43.73833333333332,71.0925,298.2558333333333,6.246666666666666,12.532499999999999,31.643333333333334,12.568333333333333,NA,22.77666666666667,21.0875,69.64,21.42833333333333,7.939166666666668,0.4000000000000002,11.344166666666666,4.993333333333333,4.891666666666667,-4.474166666666666
2010-02-01,352.8016666666667,758.2624999999999,92.10333333333331,49.196666666666665,NA,65.7275,65.00416666666666,7.691666666666666,0.8233333333333333,59.11583333333334,40.884166666666665,502.0351666666667,28.037500000000005,43.68000000000001,70.22333333333331,315.15500000000003,6.043333333333333,12.7675,33.729166666666664,12.507500000000002,NA,22.521666666666665,20.858333333333334,69.99333333333333,23.40416666666667,9.009166666666667,0.7474999999999999,12.332499999999998,5.214166666666666,4.7175,-4.3775
2010-03-01,342.935,779.0058333333333,88.3875,48.20333333333334,NA,66.015,65.03999999999999,7.820000000000001,0.7783333333333333,60.46666666666667,39.53333333333333,504.75458333333336,27.455000000000002,44.93083333333333,70.94500000000001,307.83750000000003,5.676666666666667,12.119166666666667,33.795833333333334,11.950000000000001,NA,22.141666666666666,20.175,67.33583333333333,22.357499999999998,8.545833333333334,1.1366666666666667,15.081666666666665,5.629166666666666,4.6925,-4.435833333333334
2010-04-01,337.4875,660.7133333333334,93.30333333333334,46.90583333333333,NA,66.02666666666666,64.88833333333334,6.845833333333334,0.8258333333333333,58.72416666666666,41.27583333333333,514.9361250000001,25.85166666666667,45.826666666666675,72.34083333333332,269.7391666666666,5.629166666666666,12.154166666666669,32.59916666666667,11.918333333333331,NA,23.074166666666667,21.0825,68.75166666666667,21.926666666666666,8.215,1.115,14.676666666666668,5.639166666666667,4.876666666666668,-4.467499999999999
2010-05-01,74.35846153846153,111.79153846153847,70.57,39.574615384615385,NA,65.32846153846154,64.42615384615385,7.05076923076923,0.8446153846153847,50.182307692307695,42.12538461538462,538.5426153846155,22.717692307692307,47.81153846153846,68.49538461538461,273.3430769230769,5.084615384615385,11.246923076923078,31.53076923076923,12.513846153846153,NA,23.42,21.66,46.46384615384616,21.651538461538465,7.067692307692307,-0.14461538461538476,13.044615384615385,4.766153846153846,5.555384615384615,-4.815384615384616
2010-06-01,63.027692307692305,99.76153846153845,62.129999999999995,37.82769230769231,NA,66.2676923076923,65.42999999999999,6.524615384615384,0.8392307692307692,50.649230769230755,41.658461538461545,534.5973615384617,21.81,49.184615384615384,69.43076923076923,263.9115384615385,4.889230769230769,10.8,29.990769230769224,12.146923076923075,NA,23.033076923076923,21.273846153846154,45.10307692307692,20.144615384615385,6.342307692307693,0.1423076923076922,13.30923076923077,5.081538461538462,5.194615384615385,-4.85
2010-07-01,70.37833333333333,112.80416666666667,71.04416666666667,40.556666666666665,NA,71.51249999999999,70.55666666666666,5.855833333333333,0.8941666666666667,54.86249999999999,45.137499999999996,576.0648166666666,22.970833333333335,53.47083333333333,75.46166666666666,272.4058333333333,4.130833333333334,3.728333333333332,25.962500000000002,4.941666666666667,NA,18.124999999999996,16.093333333333334,39.01083333333333,16.731666666666666,7.124166666666667,2.2375000000000003,16.91416666666667,7.305,2.2366666666666664,-4.969166666666666
2010-08-01,73.28000000000002,110.38833333333334,62.60833333333333,39.910833333333336,NA,72.23666666666666,71.17999999999999,5.6208333333333345,0.8775000000000001,55.951666666666654,44.04833333333334,578.9437833333333,23.155,53.59,75.65416666666667,267.39500000000004,4.055833333333333,3.705,25.595000000000002,4.947500000000001,NA,17.669166666666666,15.333333333333334,38.985,16.349999999999998,6.687500000000001,2.1741666666666664,16.853333333333335,7.177500000000001,2.2025,-4.901666666666667
2010-09-01,72.91416666666666,111.66750000000002,64.4875,41.35916666666666,NA,72.86999999999999,71.78250000000001,5.610833333333333,0.8433333333333333,57.002500000000005,42.9975,583.1734833333333,24.20083333333334,53.10833333333334,74.68916666666668,270.68250000000006,3.8499999999999996,3.686666666666666,26.030833333333334,5.013333333333334,2.118333333333333,17.17583333333333,14.991666666666667,39.1325,15.756666666666668,6.129999999999999,2.055833333333333,16.352500000000003,6.976666666666666,2.1516666666666664,-4.8275
2010-10-01,71.11416666666666,108.49583333333335,66.17666666666668,39.634166666666665,NA,71.5725,70.44333333333334,6.027500000000001,0.8341666666666666,56.13666666666666,43.86333333333332,586.2937833333333,22.923333333333332,53.79833333333334,75.91666666666667,264.5333333333333,3.8749999999999996,3.4441666666666673,25.061666666666664,4.8566666666666665,2.1041666666666665,17.757500000000004,15.373333333333335,35.685833333333335,15.475833333333329,5.916666666666667,2.0658333333333334,16.335833333333333,6.9958333333333345,2.1091666666666664,-4.835
