"Fecha","liq_disp_oblig_cp","liq_disp_inv_oblig_cp","liq_disp_inv_pasivo","liq_disp_inv_activo","liq_activos_pasivos_cp","fon_oblig_publico_emp_paspat","fon_oblig_publico_paspat","fon_oblig_bancos_paspat","fon_oblig_subordinadas_paspat","fon_juridicas_institucionales","fon_personas_naturales","fon_dias_permanencia_dpf","act_disp_activo","act_cartera_neta_activo","act_productivo_actcont","act_improductivo_patrimonio","car_reprogramada_cartera","car_mora_cartera","car_reprog_venc_ejec","car_prev_incobrable","car_categoria_f","solv_patrimonio_activo","solv_patrimonio_actcont","solv_cap","solv_mora_patrimonio","solv_mora_neta_patrimonio","rent_roa","rent_roe","rent_resultado_operativo","rent_gastos_fin_pasivos_costo","rent_gastos_admin_actcont"
2010-01-01,347.509166666667,756.661666666667,90.09,49.305,,65.3575,64.5141666666667,7.70416666666667,0.8275,59.2308333333333,40.7691666666667,505.141183333333,26.99,43.7383333333333,71.0925,298.255833333333,6.24666666666667,12.5325,31.6433333333333,12.5683333333333,,22.7766666666667,21.0875,69.64,21.4283333333333,7.93916666666667,0.4,11.3441666666667,4.99333333333333,4.89166666666667,-4.47416666666667
2010-02-01,352.801666666667,758.2625,92.1033333333333,49.1966666666667,,65.7275,65.0041666666667,7.69166666666667,0.823333333333333,59.1158333333333,40.8841666666667,502.035166666667,28.0375,43.68,70.2233333333333,315.155,6.04333333333333,12.7675,33.7291666666667,12.5075,,22.5216666666667,20.8583333333333,69.9933333333333,23.4041666666667,9.00916666666667,0.7475,12.3325,5.21416666666667,4.7175,-4.3775
2010-03-01,342.935,779.005833333333,88.3875,48.2033333333333,,66.015,65.04,7.82,0.778333333333333,60.4666666666667,39.5333333333333,504.754583333333,27.455,44.9308333333333,70.945,307.8375,5.67666666666667,12.1191666666667,33.7958333333333,11.95,,22.1416666666667,20.175,67.3358333333333,22.3575,8.54583333333333,1.13666666666667,15.0816666666667,5.62916666666667,4.6925,-4.43583333333333
2010-04-01,337.4875,660.713333333333,93.3033333333333,46.9058333333333,,66.0266666666667,64.8883333333333,6.84583333333333,0.825833333333333,58.7241666666667,41.2758333333333,514.936125,25.8516666666667,45.8266666666667,72.3408333333333,269.739166666667,5.62916666666667,12.1541666666667,32.5991666666667,11.9183333333333,,23.0741666666667,21.0825,68.7516666666667,21.9266666666667,8.215,1.115,14.6766666666667,5.63916666666667,4.87666666666667,-4.4675
2010-05-01,74.3584615384615,111.791538461538,70.57,39.5746153846154,,65.3284615384615,64.4261538461539,7.05076923076923,0.844615384615385,50.1823076923077,42.1253846153846,538.542615384615,22.7176923076923,47.8115384615385,68.4953846153846,273.343076923077,5.08461538461539,11.2469230769231,31.5307692307692,12.5138461538462,,23.42,21.66,46.4638461538462,21.6515384615385,7.06769230769231,-0.144615384615385,13.0446153846154,4.76615384615385,5.55538461538462,-4.81538461538462
2010-06-01,63.0276923076923,99.7615384615384,62.13,37.8276923076923,,66.2676923076923,65.43,6.52461538461538,0.839230769230769,50.6492307692308,41.6584615384615,534.597361538462,21.81,49.1846153846154,69.4307692307692,263.911538461538,4.88923076923077,10.8,29.9907692307692,12.1469230769231,,23.0330769230769,21.2738461538462,45.1030769230769,20.1446153846154,6.34230769230769,0.142307692307692,13.3092307692308,5.08153846153846,5.19461538461538,-4.85
2010-07-01,70.3783333333333,112.804166666667,71.0441666666667,40.5566666666667,,71.5125,70.5566666666667,5.85583333333333,0.894166666666667,54.8625,45.1375,576.064816666667,22.9708333333333,53.4708333333333,75.4616666666667,272.405833333333,4.13083333333333,3.72833333333333,25.9625,4.94166666666667,,18.125,16.0933333333333,39.0108333333333,16.7316666666667,7.12416666666667,2.2375,16.9141666666667,7.305,2.23666666666667,-4.96916666666667
2010-08-01,73.28,110.388333333333,62.6083333333333,39.9108333333333,,72.2366666666667,71.18,5.62083333333333,0.8775,55.9516666666667,44.0483333333333,578.943783333333,23.155,53.59,75.6541666666667,267.395,4.05583333333333,3.705,25.595,4.9475,,17.6691666666667,15.3333333333333,38.985,16.35,6.6875,2.17416666666667,16.8533333333333,7.1775,2.2025,-4.90166666666667
2010-09-01,72.9141666666667,111.6675,64.4875,41.3591666666667,,72.87,71.7825,5.61083333333333,0.843333333333333,57.0025,42.9975,583.173483333333,24.2008333333333,53.1083333333333,74.6891666666667,270.6825,3.85,3.68666666666667,26.0308333333333,5.01333333333333,2.11833333333333,17.1758333333333,14.9916666666667,39.1325,15.7566666666667,6.13,2.05583333333333,16.3525,6.97666666666667,2.15166666666667,-4.8275
2010-10-01,71.1141666666667,108.495833333333,66.1766666666667,39.6341666666667,,71.5725,70.4433333333333,6.0275,0.834166666666667,56.1366666666667,43.8633333333333,586.293783333333,22.9233333333333,53.7983333333333,75.9166666666667,264.533333333333,3.875,3.44416666666667,25.0616666666667,4.85666666666667,2.10416666666667,17.7575,15.3733333333333,35.6858333333333,15.4758333333333,5.91666666666667,2.06583333333333,16.3358333333333,6.99583333333333,2.10916666666667,-4.835
2010-11-01,60.245,98.5783333333333,60.2408333333333,39.0958333333333,,72.6383333333333,71.4816666666667,5.1175,0.923333333333333,57.0058333333333,42.9941666666667,594.64115,22.2558333333333,54.3108333333333,76.5133333333333,260.106666666667,3.74166666666667,3.43666666666667,26.0408333333333,4.80166666666667,2.03166666666667,17.5133333333333,15.3783333333333,38.9691666666667,15.2841666666667,5.75333333333333,2.05583333333333,16.2941666666667,6.98916666666667,2.09916666666667,-4.82333333333333
2010-12-01,49.9833333333333,86.235,51.465,38.6725,,74.295,73.1508333333333,5.315,0.895,59.995,40.005,595.3982,22.1375,55.39,76.7625,230.8,3.51916666666667,3.14916666666667,24.1675,4.84083333333333,1.85416666666667,15.4625,13.5491666666667,34.7183333333333,13.58,5.00583333333333,1.87916666666667,16.805,6.71083333333333,2.12416666666667,-4.66583333333333
2011-01-01,49.5066666666667,86.4475,52.0358333333333,38.3133333333333,,74.1,73.0625,5.18583333333333,0.886666666666667,58.72,41.28,605.872333333333,21.0733333333333,55.52,77.6341666666667,244.201666666667,3.545,3.37416666666667,26.31,4.97,1.91166666666667,15.9325,13.8716666666667,35.4316666666667,14.3683333333333,5.5375,1.34083333333333,15.8866666666667,6.41666666666667,1.88333333333333,-4.95166666666667
2011-02-01,50.2925,84.6041666666667,52.2341666666667,39.1983333333333,,74.8208333333333,73.6016666666667,5.10666666666667,0.815833333333333,60.2,39.8,605.054791666667,22.3966666666667,54.9691666666667,76.5333333333333,259.1325,2.8525,1.78,21.4983333333333,4.08416666666667,1.17166666666667,15.3125,13.6858333333333,34.5833333333333,13.4625,5.21416666666667,1.32,14.5741666666667,6.4325,1.76916666666667,-4.9825
2011-03-01,64.7608333333333,98.9025,63.7933333333333,38.2716666666667,,72.4408333333333,71.0633333333333,5.03166666666667,0.789166666666667,60.0358333333333,39.9641666666667,593.681166666667,22.6958333333333,55.7058333333333,76.4666666666667,245.155,2.72583333333333,1.74,22.0525,4.06333333333333,1.14833333333333,17.6058333333333,15.655,37.075,13.1616666666667,5.05916666666667,1.66583333333333,15.805,6.95916666666667,1.77,-5.1325
2011-04-01,61.2941666666667,100.835833333333,65.8991666666667,36.43,,71.18,69.9241666666667,5.17416666666667,0.7725,58.3716666666667,41.6283333333333,588.632141666667,19.5658333333333,56.8191666666667,79.0933333333333,213.275,2.56833333333333,1.6575,22.5541666666667,3.98916666666667,1.14,18.0825,16.0416666666667,39.4108333333333,12.7208333333333,4.735,1.72,15.71,7.07166666666667,1.75666666666667,-5.20833333333333
