Fecha,liquidez,fondeo,activos,cartera,solvencia
2010-01-01,-5.779153449485616,-1.7035310997724322,-0.6406687663408862,4.465338459612728,-3.202633898756503
2010-02-01,-5.852754083495872,-1.635307243587226,-0.3359839369806069,4.592924073598841,-3.0558033378690026
2010-03-01,-5.736197562946462,-1.2636996096519983,-0.37680483548688976,4.334166607942899,-2.939183215555651
2010-04-01,-5.4104693473355,-1.7725406914409485,-1.0033703422729148,4.2698399786077195,-3.1743873650537604
2010-05-01,-1.4590899055698403,-2.8069233036097625,0.4513966921412316,4.153338787673393,-2.7301184731030617
2010-06-01,-1.1133567145197243,-2.5634422172885776,0.3971870826172855,3.9000676246013266,-2.7039849843973016
2010-07-01,-1.4867031185331854,-1.712235533465524,-0.22365693420251812,0.7368890829113686,-1.6708808713665935
2010-08-01,-1.3006612504000818,-1.3726398960510942,-0.37025007856785835,0.7113980315595079,-1.5915494232726515
2010-09-01,-1.3985600682346946,-1.0100852491471082,-0.35541290371159945,0.8559233820979465,-1.5673179379907085
2010-10-01,-1.3430429224638694,-1.3827222839176037,-0.41221072208896936,0.7467263104164079,-1.5800143151732648
2010-11-01,-1.1056899656513142,-1.247309653182943,-0.44109160078274434,0.7385992966431283,-1.6626621328843325
2010-12-01,-0.8122078705448166,-0.3050931893272338,-0.9137075145449076,0.5381068106039516,-1.2842606970734514
2011-01-01,-0.8069663135815115,-0.5935695732528969,-0.6261593216956273,0.7093291307158854,-1.323895199597123
2011-02-01,-0.8462200803453697,-0.08126520216923423,-0.4152013703201934,-0.2402345361007448,-1.2734128921158046
2011-03-01,-1.1731666046877895,-0.5311903341477807,-0.6407750595623619,-0.2423557306338553,-1.7426436397418361
2011-04-01,-1.1257778771505893,-1.0347710276293762,-1.0980447988941135,-0.2569400552702463,-1.9131742552154705
2011-05-01,-0.7475672018473061,-0.9030903424677286,-1.4805216276535602,-0.31647631134716353,-1.6590799798767752
2011-06-01,-0.6943678453424835,-0.48102320385768954,-1.1928411051488226,-0.4384264122388081,-1.4830923893185717
2011-07-01,-0.704752885164064,-1.0329591408342107,-0.9442460888094293,-0.3889535997903321,-1.3390923670483332
2011-08-01,-0.7802599276793915,-0.9853750038754873,-0.838874916141664,-0.16736302210962184,-1.4520036338623368
2011-09-01,-0.9220153034500513,-0.6062682832725026,-0.7318056280047068,-0.17348565011406403,-1.3611859470569156
2011-10-01,-0.6494380065494729,-0.7493123930260522,-0.6590453167997239,-0.14178520578569853,-1.108785376507088
2011-11-01,-0.4542714392721585,0.3313228552596483,-0.13427797509795,-0.15021271648954804,-0.7129805607318439
2011-12-01,-0.42762403366120094,0.024975370914848423,0.013296811333388335,-0.22585577942854868,-0.7987770692494119
2012-01-01,-0.33925270234043914,0.10367317323295543,-0.3300606607649507,-0.20523322942060385,-0.8868567081538462
2012-02-01,-0.4284072928358699,0.6793770990910771,-0.2341066864457431,-0.4332675708478254,-0.702209311070503
2012-03-01,-0.47344499813674806,0.5884247443103541,-0.30483764394853125,-0.5022793645610105,-1.0130228848027425
2012-04-01,-0.3867616215094336,0.5695281031545387,-0.5080656277107535,-0.46391776470422247,-0.9607474454458849
2012-05-01,-0.3868973028199375,0.4360351696837836,-1.030966445974689,-0.5244315068967836,-1.1490394372331174
2012-06-01,-0.47913873426855563,0.8452850614034934,-1.1747963812371662,-0.5521361611734237,-1.1408501109301377
2012-07-01,-0.449143658515383,0.28561364493950425,-1.1973681700405485,-0.4214738226843465,-1.300381669216839
2012-08-01,-0.36708621081218246,0.8387192481794384,-1.0005565459408883,-0.4385719588238534,-1.009012156387227
2012-09-01,-0.45122981529457457,1.0721834106590822,-0.7605115329895648,-0.43741295817090897,-0.9285308966531609
2012-10-01,-0.39062342361241015,1.1864386495673331,-1.0317366303214677,-0.26470664554866796,-0.836167912407869
2012-11-01,-0.4978109751949246,1.0359744737043683,-0.7760397420043911,-0.5017892601201346,-0.8504534219513076
2012-12-01,-0.4525268728943286,1.4673934888895104,-0.5409490941016205,-0.7265674486780734,-0.8606594872062756
2013-01-01,-0.42787263090733335,1.746675229240468,-0.6944501863565503,-0.6849895836405675,-0.8286550031807743
2013-02-01,-0.4533368937477455,1.4004952212205386,-0.6132783828755349,-0.5911957515681974,-0.6691967918384608
2013-03-01,-0.403319854389208,1.6270941100825393,-0.8825720515165301,-0.7330057141166177,-0.6931419189544069
2013-04-01,-0.2802716888743968,1.5814392733772151,-1.214454164258723,-0.5578431127350592,-0.6080341926248137
2013-05-01,-0.22669080866965474,1.297177070096275,-1.2332502941505041,-0.5199985940501487,-0.7268940640770887
2013-06-01,-0.190547862386262,1.4578775934755202,-1.088113993927748,-0.4422538735036988,-0.6598946362422058
2013-07-01,-0.13813614651178815,1.0137303487049871,-1.0123884838232107,-0.5303930525838817,-0.8025251216648895
2013-08-01,-0.203350687239576,1.1403270445472424,-1.0220615957555101,-0.5023649015460504,-0.6783958090245518
2013-09-01,-0.16187848993407533,1.18028857101577,-1.1965659715043686,-0.6637797488346652,-0.6812961298186718
2013-10-01,-0.26803498051971364,1.3365122433684977,-1.3508200518170355,-0.7375617022086336,-0.6117016524964664
2013-11-01,-0.22111298473948707,1.097210254516571,-1.508924825212118,-0.7289207168217123,-0.638868009922846
2013-12-01,-0.4074176356768375,0.6999367680160962,-1.2054109530285742,-0.8129370002671079,-0.7838840270114357
2014-01-01,-0.3561916972000411,1.1907493653108379,-1.3797513860065111,-0.8111041559924591,-0.5868712689877107
2014-02-01,-0.31678418863537056,0.9776389359788897,-1.5645506198899766,-0.49458308898642095,-0.6161488631179498
2014-03-01,-0.3491563381113321,0.6691032854723223,-1.5637457903159475,-0.48617218030921117,-0.7283920692654595
2014-04-01,-0.17384818914513092,1.4203760655374267,-1.1978650888635995,-0.5468470151672126,-0.4436730358520982
2014-05-01,-0.12424680230645498,1.2904636428177385,-1.0614686976500347,-0.5463091627404635,-0.4707442021243385
2014-06-01,-0.12263468799532731,1.1713665193181273,-1.0035719558637837,-0.6178881505115622,-0.5095707952987969
2014-07-01,0.012760752503613589,0.7760962351080168,-1.4053577596354208,-0.7011254818940146,-0.5716663317475188
2014-08-01,-0.0014331767472888504,1.142350355185185,-1.3515105369643,-0.6332087610443147,-0.5277513244856221
2014-09-01,-0.11006481389445044,1.2113908230552226,-1.2872239168207777,-0.6444331503317831,-0.4965750032819046
2014-10-01,-0.1789680544528696,1.3742541631623921,-1.1209335487866048,-0.6388816772859565,-0.45956086699554743
2014-11-01,-0.16645374787948894,1.2383206023735884,-1.1285152544252448,-0.6515560060966474,-0.38603332039562505
2014-12-01,-0.17714776412986213,0.9839729642828747,-1.0813617787366117,-0.7442846440839799,-0.5745200501643054
2015-01-01,-0.20883056072325387,1.2437574476054833,-1.177780029342985,-0.6768444768190603,-0.46119584132301555
2015-02-01,-0.253778661039413,1.2151421930436184,-1.2531240246414106,-0.5643284017886424,-0.3744073116976836
2015-03-01,-0.25201295210874947,1.4359967428962597,-1.5812378209046547,-0.5693845197206833,-0.274125658711199
2015-04-01,-0.09049743651633008,1.3002481674445328,-1.4399447926597693,-0.5055543056596493,-0.32167568293739374
2015-05-01,-0.04113276605068721,1.5132435539129567,-1.1857360517062479,-0.553490238693424,-0.24735647901632268
2015-06-01,-0.09204094183218353,1.4682361770088947,-1.1175204833299082,-0.6399516594337251,-0.2766811084733238
2015-07-01,-0.14041585991226965,1.26208646935948,-0.9976021745659827,-0.6749344494699092,-0.2761355702486395
2015-08-01,-0.159388059252295,1.2812229737747778,-0.9201723405785022,-0.6625387513858743,-0.2778405346995483
2015-09-01,-0.19765383660853683,1.229577520337264,-0.5998071121257046,-0.6514864303135898,-0.27028657215614815
2015-10-01,-0.027345587189485564,1.4639394848704463,-0.3800280316225349,-0.6698293474733726,-0.31989670276833465
2015-11-01,-0.017358435219648354,1.4963351997052676,-0.35259773781100023,-0.674317274774367,-0.349173013508065
2015-12-01,-0.0976443419810777,1.6199032229082067,-0.12839547448182975,-0.7475520181875773,-0.26113975686109425
2016-01-01,-0.07006458941728287,1.0015970398245084,-0.27357624383772555,-0.632572557191593,-0.24627355749016122
2016-02-01,-0.12054544669870154,1.2554497820269608,-0.4328128970840157,-0.5276363581968924,-0.12331500288993785
2016-03-01,-0.16916181855046755,1.253630449265363,-0.5081792146243043,-0.5682638928209055,-0.13732350882550126
2016-04-01,-0.040467120568645217,1.355164862356781,-0.7418308721800113,-0.5421647705015982,-0.04626583185486588
2016-05-01,-0.0028617550799789424,1.4875073643085153,-0.6876486831249938,-0.4718729616313163,0.03251154279635262
2016-06-01,0.08005829399199517,1.3660822419934266,-0.8578911864670253,-0.6646043309784821,-0.04990649333777925
2016-07-01,0.13163316851014084,1.3173134499899795,-0.6896969879803481,-0.608817560368676,-0.005081906793438183
2016-08-01,0.022135751613319085,0.8467960102856514,-0.8113129335261071,-0.6062267477859152,0.004474168280207219
2016-09-01,-0.031728519222514205,0.845462339849679,-0.9276026662929828,-0.6645615877356019,-0.018981791071285593
2016-10-01,0.14639643082808393,0.957097943681527,-0.9173038651221828,-0.6452039512003319,-0.06035715892151721
2016-11-01,0.159110965025903,0.8346544429520022,-0.8889072630592525,-0.7387160831842584,-0.07343820349589505
